target_node,root_cause_node,issue_type,severity,affected_column,paths,IssueNumber,DetailedPathDescription,timestamp,textual_representation,structured_textual_summary
PetSite,servi-petsi.us-west-2.elb.amazonaws.com_remote,latency,0.035435269,availability_Average,"['PetSite', 'servi-petsi.us-west-2.elb.amazonaws.com_remote']",0_39,The path of the issue is from PetSite to servi-petsi.us-west-2.elb.amazonaws.com_remote.,2023-04-18 22:22,"On 2023-04-18 22:22, a latency issue with severity 0.04 was detected. Root Cause Node: servi-petsi.us-west-2.elb.amazonaws.com_remote, Target Node: PetSite, Affected Metric: availability_Average. Path: ['PetSite', 'servi-petsi.us-west-2.elb.amazonaws.com_remote']","On 2023-04-18 22:22, a latency issue was detected. The issue had a severity of 0.04, with 'servi-petsi.us-west-2.elb.amazonaws.com_remote' identified as the root cause and 'PetSite' as the target. The affected metric was 'availability_Average'. The path involved: ['PetSite', 'servi-petsi.us-west-2.elb.amazonaws.com_remote']."
PetSite,servi-lista.us-west-2.elb.amazonaws.com_remote,latency,0.050744991,latency_p95,"['PetSite', 'servi-lista.us-west-2.elb.amazonaws.com_remote']",0_22,The path of the issue is from PetSite to servi-lista.us-west-2.elb.amazonaws.com_remote.,2023-04-18 22:22,"On 2023-04-18 22:22, a latency issue with severity 0.05 was detected. Root Cause Node: servi-lista.us-west-2.elb.amazonaws.com_remote, Target Node: PetSite, Affected Metric: latency_p95. Path: ['PetSite', 'servi-lista.us-west-2.elb.amazonaws.com_remote']","On 2023-04-18 22:22, a latency issue was detected. The issue had a severity of 0.05, with 'servi-lista.us-west-2.elb.amazonaws.com_remote' identified as the root cause and 'PetSite' as the target. The affected metric was 'latency_p95'. The path involved: ['PetSite', 'servi-lista.us-west-2.elb.amazonaws.com_remote']."
PetSearch_AWS::ECS::Fargate,PetSearch_client,latency,0.084975801,latency_Average,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', 'S3_AWS::S3']",1_26,"The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to S3_AWS::S3.",2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.08 was detected. Root Cause Node: PetSearch_client, Target Node: PetSearch_AWS::ECS::Fargate, Affected Metric: latency_Average. Path: ['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', 'S3_AWS::S3']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.08, with 'PetSearch_client' identified as the root cause and 'PetSearch_AWS::ECS::Fargate' as the target. The affected metric was 'latency_Average'. The path involved: ['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', 'S3_AWS::S3']."
lambda_step_priceGreaterThan55_AWS::Lambda::Function,AWS::StepFunctions::StateMachine,latency,0.044869842,latency_p90,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55']",2_28,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function, to lambda_step_priceGreaterThan55.",2023-04-19 5:27,"On 2023-04-19 5:27, a latency issue with severity 0.04 was detected. Root Cause Node: AWS::StepFunctions::StateMachine, Target Node: lambda_step_priceGreaterThan55_AWS::Lambda::Function, Affected Metric: latency_p90. Path: ['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55']","On 2023-04-19 5:27, a latency issue was detected. The issue had a severity of 0.04, with 'AWS::StepFunctions::StateMachine' identified as the root cause and 'lambda_step_priceGreaterThan55_AWS::Lambda::Function' as the target. The affected metric was 'latency_p90'. The path involved: ['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55']."
lambda_step_readDDB,lambda_step_readDDB_AWS::Lambda::Function,latency,0.126535622,latency_p90,"['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']",1_32,"The path of the issue is from lambda_step_readDDB_AWS::Lambda, through lambda_step_readDDB_AWS::Lambda::Function, to lambda_step_readDDB.",2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.13 was detected. Root Cause Node: lambda_step_readDDB_AWS::Lambda::Function, Target Node: lambda_step_readDDB, Affected Metric: latency_p90. Path: ['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.13, with 'lambda_step_readDDB_AWS::Lambda::Function' identified as the root cause and 'lambda_step_readDDB' as the target. The affected metric was 'latency_p90'. The path involved: ['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']."
petlistadoptions_AWS::ECS::Fargate,petlistadoptions_client,latency,0.108942408,latency_p99,"['petlistadoptions_client', 'petlistadoptions_AWS::ECS::Fargate', 'PGSQL Query_remote']",1_35,"The path of the issue is from petlistadoptions_client, through petlistadoptions_AWS::ECS::Fargate, to PGSQL Query_remote.",2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.11 was detected. Root Cause Node: petlistadoptions_client, Target Node: petlistadoptions_AWS::ECS::Fargate, Affected Metric: latency_p99. Path: ['petlistadoptions_client', 'petlistadoptions_AWS::ECS::Fargate', 'PGSQL Query_remote']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.11, with 'petlistadoptions_client' identified as the root cause and 'petlistadoptions_AWS::ECS::Fargate' as the target. The affected metric was 'latency_p99'. The path involved: ['petlistadoptions_client', 'petlistadoptions_AWS::ECS::Fargate', 'PGSQL Query_remote']."
lambda_step_readDDB,lambda_step_readDDB_AWS::Lambda::Function,latency,0.081812351,latency_p99,"['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']",2_0,The path of the issue is from lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB.,2023-04-19 5:27,"On 2023-04-19 5:27, a latency issue with severity 0.08 was detected. Root Cause Node: lambda_step_readDDB_AWS::Lambda::Function, Target Node: lambda_step_readDDB, Affected Metric: latency_p99. Path: ['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']","On 2023-04-19 5:27, a latency issue was detected. The issue had a severity of 0.08, with 'lambda_step_readDDB_AWS::Lambda::Function' identified as the root cause and 'lambda_step_readDDB' as the target. The affected metric was 'latency_p99'. The path involved: ['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']."
payforadoption_AWS::ECS::Container,lambdastatusupdater_AWS::Lambda,latency,0.108504052,latency_p50,"['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function', 'petInfo_AWS::DynamoDB::Table']",1_29,"The path of the issue is from payforadoption_AWS::ECS::Container, through PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage to lambdastatusupdater_AWS::Lambda to lambdastatusupdater_AWS::Lambda::Function, to petInfo_AWS::DynamoDB::Table.",2023-04-18 21:52,"On 2023-04-18 21:52, a latency issue with severity 0.11 was detected. Root Cause Node: lambdastatusupdater_AWS::Lambda, Target Node: payforadoption_AWS::ECS::Container, Affected Metric: latency_p50. Path: ['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function', 'petInfo_AWS::DynamoDB::Table']","On 2023-04-18 21:52, a latency issue was detected. The issue had a severity of 0.11, with 'lambdastatusupdater_AWS::Lambda' identified as the root cause and 'payforadoption_AWS::ECS::Container' as the target. The affected metric was 'latency_p50'. The path involved: ['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function', 'petInfo_AWS::DynamoDB::Table']."
DynamoDB_AWS::DynamoDB,lambda_step_readDDB,latency,0.039321879,availability_Average,"['lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']",0_26,The path of the issue is from lambda_step_readDDB to DynamoDB_AWS::DynamoDB.,2023-04-18 22:22,"On 2023-04-18 22:22, a latency issue with severity 0.04 was detected. Root Cause Node: lambda_step_readDDB, Target Node: DynamoDB_AWS::DynamoDB, Affected Metric: availability_Average. Path: ['lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']","On 2023-04-18 22:22, a latency issue was detected. The issue had a severity of 0.04, with 'lambda_step_readDDB' identified as the root cause and 'DynamoDB_AWS::DynamoDB' as the target. The affected metric was 'availability_Average'. The path involved: ['lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']."
PetSite,169.254.170.2_remote,latency,0.036742792,latency_p95,"['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']",0_15,"The path of the issue is from PetSite, through petlistadoptions_AWS::ECS::Fargate to PetSearch_AWS::ECS::Fargate, to 169.254.170.2_remote.",2023-04-18 22:22,"On 2023-04-18 22:22, a latency issue with severity 0.04 was detected. Root Cause Node: 169.254.170.2_remote, Target Node: PetSite, Affected Metric: latency_p95. Path: ['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']","On 2023-04-18 22:22, a latency issue was detected. The issue had a severity of 0.04, with '169.254.170.2_remote' identified as the root cause and 'PetSite' as the target. The affected metric was 'latency_p95'. The path involved: ['PetSite', 'petlistadoptions_AWS::ECS::Fargate', 'PetSearch_AWS::ECS::Fargate', '169.254.170.2_remote']."
