target_node,root_cause_node,issue_type,severity,affected_column,timestamp,paths,IssueNumber,DetailedPathDescription,Summary
PetSite,servi-petsi.us-west-2.elb.amazonaws.com_remote,latency,0.0354352691155585,availability_Average,2024-05-26 22:56:58.049892,"['PetSite', 'servi-petsi.us-west-2.elb.amazonaws.com_remote']",0_39,The path of the issue is from PetSite to servi-petsi.us-west-2.elb.amazonaws.com_remote.,"On 2024-05-26 22:56:58.049892, a latency issue at target node PetSite, primarily caused by root cause node servi-petsi.us-west-2.elb.amazonaws.com_remote, affects availability_Average with a severity of 0.035. The path of the issue is from PetSite to servi-petsi.us-west-2.elb.amazonaws.com_remote."
PetSite,servi-lista.us-west-2.elb.amazonaws.com_remote,latency,0.0507449910822744,latency_p95,2024-05-26 22:56:54.000047,"['PetSite', 'servi-lista.us-west-2.elb.amazonaws.com_remote']",0_22,The path of the issue is from PetSite to servi-lista.us-west-2.elb.amazonaws.com_remote.,"On 2024-05-26 22:56:54.000047, a latency issue at target node PetSite, primarily caused by root cause node servi-lista.us-west-2.elb.amazonaws.com_remote, affects latency_p95 with a severity of 0.051. The path of the issue is from PetSite to servi-lista.us-west-2.elb.amazonaws.com_remote."
PetSearch_AWS::ECS::Fargate,PetSearch_client,latency,0.0849758008789866,latency_Average,2024-05-26 22:57:06.397491,"['PetSearch_client', 'PetSearch_AWS::ECS::Fargate', 'S3_AWS::S3']",1_26,"The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to S3_AWS::S3.","On 2024-05-26 22:57:06.397491, a latency issue at target node PetSearch_AWS::ECS::Fargate, primarily caused by root cause node PetSearch_client, affects latency_Average with a severity of 0.085. The path of the issue is from PetSearch_client, through PetSearch_AWS::ECS::Fargate, to S3_AWS::S3."
lambda_step_priceGreaterThan55_AWS::Lambda::Function,AWS::StepFunctions::StateMachine,latency,0.0448698417237651,latency_p90,2024-05-26 22:57:18.301625,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55']",2_28,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function, to lambda_step_priceGreaterThan55.","On 2024-05-26 22:57:18.301625, a latency issue at target node lambda_step_priceGreaterThan55_AWS::Lambda::Function, primarily caused by root cause node AWS::StepFunctions::StateMachine, affects latency_p90 with a severity of 0.045. The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function, to lambda_step_priceGreaterThan55."
AWS::StepFunctions::StateMachine,lambda_step_priceGreaterThan55,latency,0.0620528697590519,latency_p99,2024-05-26 22:56:50.715500,"['AWS::StepFunctions::StateMachine', 'lambda_step_priceGreaterThan55_AWS::Lambda', 'lambda_step_priceGreaterThan55_AWS::Lambda::Function', 'lambda_step_priceGreaterThan55']",0_8,"The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function, to lambda_step_priceGreaterThan55.","On 2024-05-26 22:56:50.715500, a latency issue at target node AWS::StepFunctions::StateMachine, primarily caused by root cause node lambda_step_priceGreaterThan55, affects latency_p99 with a severity of 0.062. The path of the issue is from AWS::StepFunctions::StateMachine, through lambda_step_priceGreaterThan55_AWS::Lambda to lambda_step_priceGreaterThan55_AWS::Lambda::Function, to lambda_step_priceGreaterThan55."
lambda_step_readDDB,lambda_step_readDDB_AWS::Lambda::Function,latency,0.1265356224320774,latency_p90,2024-05-26 22:57:07.746275,"['lambda_step_readDDB_AWS::Lambda', 'lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']",1_32,"The path of the issue is from lambda_step_readDDB_AWS::Lambda, through lambda_step_readDDB_AWS::Lambda::Function, to lambda_step_readDDB.","On 2024-05-26 22:57:07.746275, a latency issue at target node lambda_step_readDDB, primarily caused by root cause node lambda_step_readDDB_AWS::Lambda::Function, affects latency_p90 with a severity of 0.127. The path of the issue is from lambda_step_readDDB_AWS::Lambda, through lambda_step_readDDB_AWS::Lambda::Function, to lambda_step_readDDB."
petlistadoptions_AWS::ECS::Fargate,petlistadoptions_client,latency,0.1089424079492776,latency_p99,2024-05-26 22:57:08.416474,"['petlistadoptions_client', 'petlistadoptions_AWS::ECS::Fargate', 'PGSQL Query_remote']",1_35,"The path of the issue is from petlistadoptions_client, through petlistadoptions_AWS::ECS::Fargate, to PGSQL Query_remote.","On 2024-05-26 22:57:08.416474, a latency issue at target node petlistadoptions_AWS::ECS::Fargate, primarily caused by root cause node petlistadoptions_client, affects latency_p99 with a severity of 0.109. The path of the issue is from petlistadoptions_client, through petlistadoptions_AWS::ECS::Fargate, to PGSQL Query_remote."
lambda_step_readDDB,lambda_step_readDDB_AWS::Lambda::Function,latency,0.0818123507602857,latency_p99,2024-05-26 22:57:11.880531,"['lambda_step_readDDB_AWS::Lambda::Function', 'lambda_step_readDDB']",2_0,The path of the issue is from lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB.,"On 2024-05-26 22:57:11.880531, a latency issue at target node lambda_step_readDDB, primarily caused by root cause node lambda_step_readDDB_AWS::Lambda::Function, affects latency_p99 with a severity of 0.082. The path of the issue is from lambda_step_readDDB_AWS::Lambda::Function to lambda_step_readDDB."
payforadoption_AWS::ECS::Container,lambdastatusupdater_AWS::Lambda,latency,0.1085040521606025,latency_p50,2024-05-26 22:57:07.065551,"['payforadoption_AWS::ECS::Container', 'PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage', 'lambdastatusupdater_AWS::Lambda', 'lambdastatusupdater_AWS::Lambda::Function', 'petInfo_AWS::DynamoDB::Table']",1_29,"The path of the issue is from payforadoption_AWS::ECS::Container, through PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage to lambdastatusupdater_AWS::Lambda to lambdastatusupdater_AWS::Lambda::Function, to petInfo_AWS::DynamoDB::Table.","On 2024-05-26 22:57:07.065551, a latency issue at target node payforadoption_AWS::ECS::Container, primarily caused by root cause node lambdastatusupdater_AWS::Lambda, affects latency_p50 with a severity of 0.109. The path of the issue is from payforadoption_AWS::ECS::Container, through PetAdoptionStatusUpdater/prod_AWS::ApiGateway::Stage to lambdastatusupdater_AWS::Lambda to lambdastatusupdater_AWS::Lambda::Function, to petInfo_AWS::DynamoDB::Table."
DynamoDB_AWS::DynamoDB,lambda_step_readDDB,latency,0.0393218787485218,availability_Average,2024-05-26 22:56:54.983578,"['lambda_step_readDDB', 'DynamoDB_AWS::DynamoDB']",0_26,The path of the issue is from lambda_step_readDDB to DynamoDB_AWS::DynamoDB.,"On 2024-05-26 22:56:54.983578, a latency issue at target node DynamoDB_AWS::DynamoDB, primarily caused by root cause node lambda_step_readDDB, affects availability_Average with a severity of 0.039. The path of the issue is from lambda_step_readDDB to DynamoDB_AWS::DynamoDB."
